## population PofZ values from gsi_sim.  These are plug-in values of type indicated by the file name
IndivName	NumLoc	srumapop	srvalpop	wfyankee	mainefsr	srefspop	srpahpop	srlempop	srnfspop
OtsSALM18C_1480	169	0.01645430	0.04271940	0.00000019	0.00064115	0.02804134	0.91203417	0.00009467	0.00001478
OtsSALM18C_1481	166	0.01539599	0.03629160	0.00000198	0.01186857	0.04954816	0.88654151	0.00021412	0.00013807
OtsSALM18C_1482	167	0.09555610	0.01787855	0.00000635	0.19633017	0.67983520	0.00273536	0.00751146	0.00014683
OtsSALM18C_1483	169	0.36182358	0.00152800	0.40208185	0.00920398	0.21694215	0.00021364	0.00718530	0.00102150
OtsSALM18C_1484	169	0.13046650	0.00252468	0.82838679	0.00524644	0.02078681	0.00896318	0.00007321	0.00355239
OtsSALM18C_1485	168	0.10938457	0.12600754	0.28356278	0.00193788	0.02494691	0.45372302	0.00004507	0.00039222
OtsSALM18C_1486	168	0.21471202	0.19594064	0.00009729	0.09774546	0.33175000	0.15812197	0.00163254	0.00000009
OtsSALM18C_1487	169	0.00158991	0.00049541	0.00000005	0.00058314	0.01979021	0.97753407	0.00000720	0.00000001
OtsSALM18C_1488	169	0.00031654	0.00095345	0.00000016	0.00156246	0.00034134	0.99625419	0.00000759	0.00056427
OtsSALM18C_1489	169	0.03739487	0.40332453	0.00000087	0.13340216	0.42550299	0.00002688	0.00029065	0.00005706
OtsSALM18C_1490	168	0.59449588	0.29103469	0.00007154	0.02896036	0.03731399	0.00486273	0.00000506	0.04325574
OtsSALM18C_1491	167	0.88707489	0.01772904	0.00012126	0.01099582	0.07965985	0.00231100	0.00014152	0.00196662
OtsSALM19C_0001	169	0.00534528	0.00000944	0.00000000	0.00104867	0.13001332	0.85879601	0.00473235	0.00005493
OtsSALM19C_0002	169	0.00621348	0.00708609	0.00000001	0.00586715	0.94411249	0.01916085	0.00203591	0.01552403
OtsSALM19C_0003	169	0.22679706	0.06277716	0.00031830	0.17900210	0.45182347	0.07904403	0.00019864	0.00003924
OtsSALM19C_0004	167	0.01990925	0.00222536	0.00006504	0.00047722	0.00360846	0.80822351	0.06793690	0.09755426
OtsSALM19C_0005	167	0.08588359	0.27095532	0.00000044	0.06489754	0.22788034	0.00654477	0.30228005	0.04155795
OtsSALM19C_0006	168	0.00003856	0.00000489	0.00000000	0.00018982	0.00000507	0.99976152	0.00000002	0.00000011
OtsSALM19C_0007	168	0.00727815	0.00884894	0.00000071	0.09689264	0.17944209	0.29596060	0.41143372	0.00014316
OtsSALM19C_0008	167	0.03614307	0.18823927	0.00001030	0.00295117	0.00191169	0.77054526	0.00000841	0.00019083
OtsSALM19C_0009	169	0.01625520	0.00280361	0.00000035	0.00234859	0.01677231	0.96135481	0.00046508	0.00000005
OtsSALM19C_0010	169	0.12733017	0.05237080	0.00007761	0.73896458	0.01897801	0.00268114	0.05942197	0.00017572
OtsSALM19C_0011	169	0.21931059	0.28800946	0.00000740	0.31210690	0.17111389	0.00025204	0.00000024	0.00919948
OtsSALM19C_0012	169	0.83714799	0.06593815	0.00139416	0.03450000	0.05799714	0.00265783	0.00035012	0.00001461
OtsSALM19C_0013	168	0.00449154	0.00333130	0.00000010	0.00268460	0.07176274	0.90780838	0.00992081	0.00000053
OtsSALM19C_0014	167	0.02537312	0.04594457	0.00002890	0.00253542	0.05674050	0.00289497	0.85035486	0.01612765
OtsSALM19C_0015	167	0.00594937	0.02212177	0.00000078	0.00045661	0.00428099	0.96133582	0.00583289	0.00002177
OtsSALM19C_0016	168	0.00125643	0.00056842	0.00000095	0.05610289	0.00305266	0.93901848	0.00000016	0.00000001
OtsSALM19C_0017	169	0.01997597	0.00010922	0.00000001	0.00011486	0.00189525	0.97787521	0.00002946	0.00000002
OtsSALM19C_0018	169	0.00000998	0.00001235	0.00000003	0.00002727	0.00006510	0.99988490	0.00000036	0.00000001
OtsSALM19C_0019	168	0.01226964	0.01534202	0.00018287	0.01918723	0.01276117	0.54021401	0.29117352	0.10886954
OtsSALM19C_0020	169	0.21547570	0.47381658	0.00113139	0.00306158	0.00808188	0.08728556	0.00070828	0.21043904
OtsSALM19C_0021	169	0.19220957	0.04258593	0.00062549	0.00618594	0.25891089	0.00303474	0.48800148	0.00844596
OtsSALM19C_0022	169	0.01289131	0.00227647	0.00000011	0.00066066	0.00117862	0.97728997	0.00569666	0.00000620
OtsSALM19C_0023	169	0.01204119	0.00010697	0.00000014	0.02783541	0.23149384	0.00135823	0.32175031	0.40541391
OtsSALM19C_0024	168	0.00000265	0.00009905	0.00000000	0.00000187	0.00366083	0.99620813	0.00002746	0.00000001
OtsSALM19C_0025	168	0.00115754	0.00029134	0.00000033	0.00006442	0.01682765	0.00000370	0.96440078	0.01725424
OtsSALM19C_0026	167	0.00415660	0.00088908	0.00000534	0.00413452	0.00563262	0.93972124	0.04504786	0.00041276
OtsSALM19C_0027	168	0.00053861	0.00029274	0.00000003	0.00011616	0.00004102	0.99891390	0.00009735	0.00000020
OtsSALM19C_0028	168	0.00143243	0.00087765	0.00000025	0.00003170	0.00096590	0.89945281	0.09694312	0.00029613
OtsSALM19C_0029	169	0.00091725	0.00642271	0.00000074	0.00071327	0.00046702	0.99147624	0.00000018	0.00000259
OtsSALM19C_0030	167	0.17951237	0.44315121	0.00000890	0.02252021	0.33986648	0.01420160	0.00018406	0.00055516
OtsSALM19C_0031	169	0.53044901	0.02562768	0.00022100	0.00034469	0.35467630	0.08524866	0.00342681	0.00000586
OtsSALM19C_0032	168	0.06542426	0.01024711	0.00000000	0.01381653	0.90188875	0.00401113	0.00461221	0.00000001
OtsSALM19C_0033	169	0.01023993	0.01727466	0.00000000	0.01778724	0.84168593	0.00445559	0.08413346	0.02442319
OtsSALM19C_0034	168	0.00025879	0.00014932	0.00000027	0.00047872	0.00030341	0.97738943	0.02105106	0.00036900
OtsSALM19C_0035	168	0.36478161	0.41018186	0.00130802	0.01349906	0.05206671	0.00671957	0.15121687	0.00022631
OtsSALM19C_0036	167	0.06219010	0.00290348	0.00001299	0.00857436	0.00166376	0.86134478	0.06277756	0.00053298
OtsSALM19C_0037	169	0.16433171	0.03331966	0.00000015	0.79998334	0.00197965	0.00037588	0.00000916	0.00000044
OtsSALM19C_0038	168	0.00816236	0.10288947	0.00000910	0.04961106	0.83035285	0.00380557	0.00267288	0.00249672
OtsSALM19C_0039	169	0.00002410	0.00039718	0.00000000	0.00040413	0.00033938	0.99813468	0.00066587	0.00003465
OtsSALM19C_0040	170	0.00650846	0.02650501	0.00002408	0.10971474	0.85498441	0.00226117	0.00000156	0.00000057
OtsSALM19C_0041	168	0.11670721	0.00247331	0.00000026	0.00237163	0.44997208	0.33781518	0.06884561	0.02181471
OtsSALM19C_0042	166	0.00001104	0.00002205	0.00000001	0.00000066	0.00005777	0.99986816	0.00004031	0.00000000
OtsSALM19C_0043	168	0.00051179	0.00100508	0.00000015	0.00398968	0.00019536	0.99429793	0.00000000	0.00000000
OtsSALM19C_0044	169	0.08966297	0.83472166	0.00272882	0.00559666	0.02201864	0.04526632	0.00000032	0.00000461
OtsSALM19C_0045	167	0.18132434	0.01905988	0.00000129	0.29720518	0.29974562	0.09410830	0.09755066	0.01100474
OtsSALM19C_0046	169	0.00712259	0.35950862	0.00002196	0.01660882	0.57796053	0.00090184	0.03738020	0.00049543
OtsSALM19C_0047	169	0.03964281	0.00016435	0.00000002	0.00002263	0.06581198	0.00000004	0.00000547	0.89435271
OtsSALM19C_0048	168	0.21055736	0.15846829	0.00092743	0.04455319	0.48788269	0.01478391	0.08141745	0.00140968
OtsSALM19C_0049	169	0.00016736	0.00062527	0.00000000	0.00006369	0.00001251	0.99913116	0.00000001	0.00000000
