CHAIN,ITER,p[1],p[2],p[3],p[4],p[5],p[6],phi[1],phi[2],phi[3],phi[4],phi[5],phi[6],survship[1],survship[2],survship[3],survship[4],survship[5],survship[6]
1,3505,1,0.7591824224796355,0.5699371348798937,0.8919725011769838,0.8713820944489489,0.9553703469395527,1,0.8667440399793502,0.7445515888048735,0.7333311557886824,0.9314638039622563,0.5787196081671178,1,0.8667440399793502,0.64533565205378,0.47324473959224145,0.4408103453457166,0.255105590334485
1,3510,1,0.8737258916198236,0.5763572347958854,0.8507050979620214,0.8273874317316263,0.9972165802599161,1,0.7273792477441897,0.8149570039326509,0.9148972465542395,0.9982009232638749,0.7266624972120557,1,0.7273792477441897,0.5927828124643902,0.5423353629283488,0.5413596599937265,0.39338576242091067
1,3515,1,0.7504179918891785,0.767680505111479,0.8822968100780205,0.9198317116394994,0.6428540151582749,1,0.700979919683355,0.8214523953423283,0.9159129969449085,0.9461585613554949,0.9282921168215952,1,0.700979919683355,0.5758216341107649,0.5274025186041053,0.49900640825772485,0.46322371502910453
1,3520,1,0.7740551664147065,0.7693313540727857,0.8824923779211853,0.9326651782971511,0.8562219020660179,1,0.7253598580719847,0.599516069552743,0.6194309736904875,0.8803723920750843,0.8790676613482995,1,0.7253598580719847,0.4348648911226517,0.26936878293191197,0.2371448397801215,0.2084663597063286
1,3525,1,0.7120213578674094,0.7619220101092582,0.9188842985303491,0.7200703671052243,0.7976401086113071,1,0.9016740474384402,0.5308808800934124,0.9252900901007047,0.965633500263897,0.7126675052896787,1,0.9016740474384402,0.47868151186150837,0.44291925923987663,0.42769767463409447,0.3048062347996768
1,3530,1,0.695987968563615,0.596854019375213,0.8724072224530018,0.9339602270292632,0.9779322325414574,1,0.9941436767577766,0.769970670411114,0.8451330260346882,0.9875479578518237,0.7953616886012826,1,0.9941436767577766,0.7654614732781551,0.6469167712245378,0.6388613363228878,0.508125831239844
1,3535,1,0.6439377299656586,0.7575518683829602,0.9650929332794431,0.8352299094030454,0.9454581500809291,1,0.8988257568121857,0.5696874252768813,0.7774589146465508,0.9741238042599245,0.7188043550882268,1,0.8988257568121857,0.5120497311708784,0.39809762824116923,0.3877963760891409,0.2787497240203064
1,3540,1,0.7619337377037376,0.418152040571007,0.8235818691255402,0.8674576241302661,0.9001649466920494,1,0.928670300543225,0.6881480316373269,0.9607447403342486,0.8661131380974538,0.8634746781373341,1,0.928670300543225,0.639062639358865,0.6139760695081523,0.5317727402784462,0.45917229575413954
1,3545,1,0.8635404016573837,0.4536447739303242,0.9161608776410721,0.8203339655580174,0.9965661217877031,1,0.9374444022691668,0.7555214589212873,0.9398527300051317,0.9746413913006694,0.7222522910901081,1,0.9374444022691668,0.708259362459995,0.6656594953597204,0.6487792966898993,0.4685823334461088
1,3550,1,0.7951015548290306,0.7028300273609217,0.9470857890714286,0.9876458327801289,0.896149432070044,1,0.6363827888542893,0.8757528253608718,0.8170534532805924,0.7281410868579465,0.8902162420066262,1,0.6363827888542893,0.557314025350175,0.45535534897406815,0.3315629387085575,0.2951627132858054
1,3555,1,0.5203545097796679,0.6059147579092317,0.8226474438233842,0.8710036102400457,0.8122114706057912,1,0.955171182853046,0.7506293727907709,0.8694782132748937,0.9816569731409615,0.9456680666467783,1,0.955171182853046,0.7169795458928007,0.6233980945175169,0.6119630865259087,0.5787139488941512
1,3560,1,0.6522553765608102,0.7257236430990763,0.964577478058233,0.7505136768285867,0.6983046053222752,1,0.8646491435468684,0.6404768841509727,0.906668862167148,0.9718277993852279,0.8209924147317323,1,0.8646491435468684,0.5537877893427054,0.502102144845411,0.4879568224917188,0.4006088499822995
