season,radio_tag_id,pit_tag_id,tag_id,srr,length,weight,tag_purpose,release_site,duty_cycle,activation_time,release_time,notes
18_19,5270B,3DD.00776E86EC,5270,11W,115,14.6,fish,LLRTP,batch_1,2018-10-22T22:48:19Z,2018-10-24T01:00:00Z,"NA"
18_19,5275B,3DD.00776F8827,5275,11W,126,18.2,fish,LLRTP,batch_1,2018-10-31T15:01:52Z,2018-10-31T23:45:00Z,"NA"
18_19,5280B,3DD.0077706888,5280,11W,109,14.1,fish,LLRTP,batch_1,2018-10-31T15:05:09Z,2018-10-31T23:45:00Z,"NA"
18_19,5285B,3DD.00776F4BE5,5285,11W,118,16.2,fish,LLRTP,batch_1,2018-10-22T22:46:40Z,2018-10-31T23:45:00Z,"NA"
18_19,5290B,3DD.0077700951,5290,11W,116,13.8,fish,LLRTP,batch_1,2018-10-22T22:35:34Z,2018-10-29T00:00:00Z,"NA"
18_19,5295B,3DD.00776F26A9,5295,11W,112,14.7,fish,LLRTP,batch_1,2018-10-22T22:54:17Z,2018-10-24T01:00:00Z,"NA"
18_19,5300B,3DD.00776F539E,5300,11W,113,13.5,fish,LLRTP,batch_1,2018-10-22T22:53:51Z,2018-10-24T01:00:00Z,"NA"
18_19,5300B,"NA",5300,"NA","NA","NA",test,"NA",batch_1,2018-10-21T22:29:10Z,NA,Missing from test jar in basement
18_19,5305B,3DD.00776F88E3,5305,11W,118,16.5,fish,LLRTP,batch_1,2018-10-22T22:55:10Z,2018-10-25T01:00:00Z,"NA"
18_19,5310B,3DD.007770C5AA,5310,11W,118,15.9,fish,LLRTP,batch_1,2018-10-22T22:55:50Z,2018-10-31T00:00:00Z,"NA"
18_19,5315B,3DD.00776E99F0,5315,11W,130,22.7,fish,LLRTP,batch_1,2018-10-31T15:04:30Z,2018-10-31T23:45:00Z,"NA"
18_19,5325B,3DD.00776FA3AB,5325,11W,119,17.899999999999999,fish,LLRTP,batch_2,2018-10-22T12:51:37Z,2018-10-31T00:30:00Z,"NA"
18_19,5330B,3DD.00776F4C06,5330,11W,112,14.5,fish,LLRTP,batch_2,2018-10-22T12:44:10Z,2018-10-31T00:30:00Z,"NA"
18_19,5335B,3DD.00776F0458,5335,11W,113,13.7,fish,LLRTP,batch_2,2018-10-22T12:53:50Z,2018-10-31T23:45:00Z,"NA"
