"Tag Code","Mark Rear Type Name","Event Type Name","Event Site Code Value","Event Date Time Value","Event Release Date Time Value","Antenna ID","Antenna Group Configuration Value","CTH Count"
"3DD.00776F6D9F","Wild Fish or Natural Production","Observation","GRJ","4/1/2019 4:27:06 PM","","B1","150","1"
"3DD.00776F6D9F","Wild Fish or Natural Production","Observation","GRJ","4/1/2019 4:27:06 PM","","B2","150","1"
"3DD.00776F6D9F","Wild Fish or Natural Production","Observation","GRJ","4/1/2019 4:27:16 PM","","C1","150","1"
"3DD.00776F6D9F","Wild Fish or Natural Production","Observation","GRJ","4/1/2019 4:27:16 PM","","C2","150","1"
"3DD.00776F6D9F","Wild Fish or Natural Production","Observation","GRJ","4/1/2019 4:27:18 PM","","91","150","1"
"3DD.00776F6D9F","Wild Fish or Natural Production","Observation","GRJ","4/1/2019 4:27:18 PM","","92","150","1"
"3DD.00776F6E08","Wild Fish or Natural Production","Mark","LLRTP","10/22/2019 7:00:00 AM","10/22/2019 6:00:00 PM","NA","0","1"
"3DD.00776F6E9A","Wild Fish or Natural Production","Mark","LLRTP","10/30/2018 7:30:00 AM","10/30/2018 5:30:00 PM","NA","0","1"
"3DD.00776F6F41","Wild Fish or Natural Production","Mark","LLRTP","10/23/2018 6:00:00 AM","10/23/2018 5:00:00 PM","NA","0","1"
"3DD.00776F6F61","Wild Fish or Natural Production","Mark","LEMTRP","10/25/2019 7:27:05 AM","10/25/2019 5:40:00 PM","NA","0","1"
"3DD.00776F6F6D","Wild Fish or Natural Production","Mark","LLRTP","10/28/2018 12:00:00 PM","10/28/2018 5:00:00 PM","NA","0","1"
"3DD.00776F70A7","Wild Fish or Natural Production","Mark","LLRTP","10/22/2018 6:00:00 AM","10/22/2018 5:30:00 PM","NA","0","1"
"3DD.00776F71B2","Wild Fish or Natural Production","Mark","LEMTRP","10/28/2019 3:22:44 PM","10/28/2019 8:15:00 PM","NA","0","1"
"3DD.00776F74A5","Wild Fish or Natural Production","Mark","HYDTRP","10/25/2019 8:38:28 AM","10/25/2019 6:40:00 PM","NA","0","1"
"3DD.00776F74A5","Wild Fish or Natural Production","Observation","HYC","10/25/2019 5:37:21 PM","","04","130","1"
"3DD.00776F759D","Wild Fish or Natural Production","Mark","LLRTP","10/22/2018 6:00:00 AM","10/22/2018 5:30:00 PM","NA","0","1"
"3DD.00776F75D5","Wild Fish or Natural Production","Mark","LEMTRP","10/28/2019 3:30:20 PM","10/28/2019 8:15:00 PM","NA","0","1"
"3DD.00776F75D5","Wild Fish or Natural Production","Recapture","LLRTP","11/20/2019 7:17:20 AM","11/20/2019 7:17:20 AM","NA","0","1"
"3DD.00776F7A0B","Wild Fish or Natural Production","Mark","LLRTP","10/30/2018 7:30:00 AM","10/30/2018 5:00:00 PM","NA","0","1"
"3DD.00776F7A87","Wild Fish or Natural Production","Mark","LLRTP","10/28/2018 12:00:00 PM","10/28/2018 5:00:00 PM","NA","0","1"
"3DD.00776F7B4D","Wild Fish or Natural Production","Mark","LLRTP","10/22/2019 7:00:00 AM","10/22/2019 6:00:00 PM","NA","0","1"
"3DD.00776F7B5D","Wild Fish or Natural Production","Mark","LEMTRP","10/23/2019 10:00:00 AM","10/23/2019 6:30:00 PM","NA","0","1"
"3DD.00776F7B88","Wild Fish or Natural Production","Mark","LEMTRP","10/25/2019 7:52:35 AM","10/25/2019 5:40:00 PM","NA","0","1"
"3DD.00776F7B8D","Wild Fish or Natural Production","Mark","LLRTP","10/31/2018 5:30:00 AM","10/31/2018 4:45:00 PM","NA","0","1"
"3DD.00776F7B9D","Wild Fish or Natural Production","Mark","LLRTP","10/23/2018 6:00:00 AM","10/23/2018 5:00:00 PM","NA","0","1"
"3DD.00776F7B9D","Wild Fish or Natural Production","Observation","GOJ","4/12/2019 12:51:49 PM","","01","150","1"
"3DD.00776F7B9D","Wild Fish or Natural Production","Observation","GOJ","4/12/2019 12:51:52 PM","","02","150","1"
"3DD.00776F7B9D","Wild Fish or Natural Production","Observation","GOJ","4/12/2019 12:51:55 PM","","03","150","1"
"3DD.00776F7B9D","Wild Fish or Natural Production","Observation","GOJ","4/12/2019 12:51:56 PM","","03","150","1"
"3DD.00776F7B9D","Wild Fish or Natural Production","Observation","GOJ","4/12/2019 12:51:57 PM","","04","150","1"
"3DD.00776F7B9D","Wild Fish or Natural Production","Observation","GRJ","4/10/2019 6:58:49 PM","","01","150","1"
"3DD.00776F7B9D","Wild Fish or Natural Production","Observation","GRJ","4/10/2019 6:58:51 PM","","02","150","1"
"3DD.00776F7B9D","Wild Fish or Natural Production","Observation","GRJ","4/10/2019 6:58:54 PM","","03","150","1"
"3DD.00776F7B9D","Wild Fish or Natural Production","Observation","GRJ","4/10/2019 7:01:01 PM","","B1","150","1"
"3DD.00776F7B9D","Wild Fish or Natural Production","Observation","GRJ","4/10/2019 7:01:01 PM","","B2","150","1"
"3DD.00776F7B9D","Wild Fish or Natural Production","Observation","GRJ","4/10/2019 7:01:11 PM","","C1","150","1"
"3DD.00776F7B9D","Wild Fish or Natural Production","Observation","GRJ","4/10/2019 7:01:11 PM","","C2","150","1"
"3DD.00776F7B9D","Wild Fish or Natural Production","Observation","GRJ","4/10/2019 7:01:13 PM","","91","150","1"
"3DD.00776F7B9D","Wild Fish or Natural Production","Observation","GRJ","4/10/2019 7:01:13 PM","","92","150","1"
"3DD.00776F7BB6","Wild Fish or Natural Production","Mark","LLRTP","10/31/2018 5:30:00 AM","10/31/2018 4:45:00 PM","NA","0","1"
"3DD.00776F7BC1","Wild Fish or Natural Production","Mark","LLRTP","10/22/2018 6:00:00 AM","10/22/2018 5:30:00 PM","NA","0","1"
"3DD.00776F7C05","Wild Fish or Natural Production","Mark","LLRTP","10/23/2018 6:00:00 AM","10/23/2018 5:00:00 PM","NA","0","1"
"3DD.00776F7C4C","Wild Fish or Natural Production","Mark","LEMTRP","10/25/2019 7:36:34 AM","10/25/2019 5:40:00 PM","NA","0","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Mark","LEMTRP","10/28/2019 4:11:44 PM","10/28/2019 8:15:00 PM","NA","0","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:16 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:17 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:18 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:19 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:20 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:21 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:22 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:23 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:24 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:25 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:26 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:27 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:28 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:29 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:30 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:31 AM","","03","120","1"
